index_x_coor,index_y_coor,index_z_coor,palm_x_coor,palm_y_coor,palm_z_coor,index_x_velocity,index_y_velocity,index_z_velocity,palm_velocity_x,palm_velocity_y,palm_velocity_z,confidence,hand_grab_angle,hand_grab_strength,armPosition_x,armPosition_y,armPosition_z,tip_rotation_x,tip_rotation_y,tip_rotation_z,tip_rotation_w,target
-136.9125213623047,315.75286865234375,-149.9977569580078,-98.30131530761719,254.68661499023438,206.57862854003906,-133.813801120501,368.93717395467684,-515.5204937707167,17.966163635253906,87.40504455566406,98.87532806396484,0.727674663066864,1.435059666633606,0.0,-89.33674621582031,201.21896362304688,249.10394287109375,0.26199063658714294,0.06574031710624695,0.1521894335746765,0.950724720954895,1
-138.2655487060547,316.5370178222656,-152.39962768554688,-98.60031127929688,255.37229919433594,207.462646484375,-161.3051241002977,93.48464371520095,-286.3460650431225,-3.7927627563476562,82.79046630859375,107.02629089355469,0.7159833312034607,1.6575170755386353,0.0,-89.20210266113281,201.3144989013672,249.11814880371094,0.2608189284801483,0.07612234354019165,0.1588599532842636,0.9491798281669617,1
-140.01449584960938,317.13616943359375,-155.10069274902344,-99.6490478515625,256.61907958984375,207.81211853027344,-208.5942779459292,71.45990558131598,-322.15194077033084,-25.513633728027344,53.538387298583984,-42.22171401977539,0.7269992232322693,2.027369260787964,0.0,-89.45201110839844,202.14683532714844,248.99942016601562,0.28747352957725525,0.07958471029996872,0.1826203465461731,0.9368430972099304,1
-141.66148376464844,318.5531311035156,-158.14735412597656,-100.11956787109375,258.0762634277344,208.06365966796875,-196.40513086889405,168.97424666932784,-363.3177396079991,17.738460540771484,103.51356506347656,-0.6736978888511658,0.7353768944740295,2.246584415435791,0.0,-89.25999450683594,203.23707580566406,248.79356384277344,0.32597240805625916,0.08711301535367966,0.18934933841228485,0.9221171736717224,1
-141.85223388671875,320.46087646484375,-159.10101318359375,-99.62051391601562,259.218505859375,208.0883026123047,-22.77462328202091,227.77538200607523,-113.86218546540476,75.50975036621094,24.647563934326172,-36.010406494140625,0.7348488569259644,2.4188437461853027,0.0,-88.38565063476562,204.02267456054688,248.49789428710938,0.3477514982223511,0.09281644225120544,0.18469884991645813,0.9145164489746094,1
-142.3560791015625,323.8405456542969,-158.7711181640625,-99.46806335449219,257.5677490234375,207.31202697753906,-60.248547026421875,404.13236465421505,39.44801897974685,25.79970359802246,-113.32937622070312,-29.32149314880371,0.7337415814399719,2.4934165477752686,0.0,-87.5341796875,202.70037841796875,248.38247680664062,0.3882846236228943,0.08969144523143768,0.1602640599012375,0.9030536413192749,1
-142.55743408203125,324.4337158203125,-157.4330291748047,-99.57656860351562,255.9495086669922,207.43118286132812,-24.052596867550164,70.85636940202676,159.8396769555984,26.649864196777344,-70.3091812133789,14.583221435546875,0.7345716953277588,2.550846815109253,0.0,-86.83197021484375,201.3649139404297,248.5655517578125,0.3958112299442291,0.08076679706573486,0.1552882194519043,0.901496410369873,1
-142.6036834716797,325.31146240234375,-155.88087463378906,-99.89933776855469,255.2764892578125,207.38597106933594,-5.524074142216705,104.83894455851987,185.39091715426184,16.04073143005371,-54.11687469482422,-30.83207893371582,0.7295461297035217,2.585162401199341,0.0,-86.37046813964844,201.0495147705078,248.55645751953125,0.4041023850440979,0.07006841897964478,0.1516425460577011,0.8993309736251831,1
-142.2357177734375,324.7524108886719,-153.92625427246094,-99.28884887695312,254.55215454101562,206.35336303710938,43.918140082387254,-66.72497683344409,233.29155746521428,95.82467651367188,-36.58565139770508,-68.84498596191406,0.7256715893745422,2.60274076461792,0.0,-85.511962890625,200.94171142578125,248.2725067138672,0.4024777412414551,0.07503008842468262,0.1459142565727234,0.9006060361862183,1
-141.29075622558594,323.37860107421875,-152.23973083496094,-98.7867431640625,254.27865600585938,205.78909301757812,63.07711193943396,-44.52094728546217,106.51027148938738,92.32911682128906,-32.49736404418945,-66.95466613769531,0.7269847989082336,2.610900402069092,0.0,-84.98640441894531,201.03851318359375,248.1383514404297,0.40301480889320374,0.07610735297203064,0.14327584207057953,0.9006990194320679,1
