frame_id,index_x_coor,index_y_coor,index_z_coor,palm_x_coor,palm_y_coor,palm_z_coor,index_x_velocity,index_y_velocity,index_z_velocity,palm_velocity_x,palm_velocity_y,palm_velocity_z,confidence,hand_grab_angle,hand_grab_strength,armPosition_x,armPosition_y,armPosition_z,tip_rotation_x,tip_rotation_y,tip_rotation_z,tip_rotation_w,target
68835,-69.22895812988281,255.11776733398438,-169.10850524902344,-44.40689468383789,211.95770263671875,225.01666259765625,-82.65688022878021,780.052022037562,264.14145256136544,-55.43753433227539,31.13515281677246,-141.13961791992188,0.4103940725326538,2.461224317550659,0.0,-34.91782760620117,170.6743927001953,260.4158020019531,0.17642919719219208,0.08917933702468872,-0.037628836929798126,0.9795426726341248,1
68836,-69.22346496582031,258.5493469238281,-168.4532928466797,-44.90080642700195,211.89047241210938,224.3511199951172,0.6547622149810195,409.0299556986429,78.0985819757916,-26.61591339111328,-7.745746612548828,-78.63094329833984,0.35230553150177,2.374941825866699,0.0,-35.54305648803711,171.0108642578125,260.14495849609375,0.20904961228370667,0.08779004216194153,-0.04748217761516571,0.9727983474731445,1
68838,-68.37089538574219,262.04388427734375,-170.6954803466797,-45.8795280456543,211.51934814453125,224.52662658691406,101.84258846449666,417.4354068969842,-267.8375867009163,-18.969947814941406,-33.48476028442383,47.515586853027344,0.2539776563644409,2.194977045059204,0.0,-36.354129791259766,170.75196838378906,260.402099609375,0.25314202904701233,0.0770270824432373,-0.05688516050577164,0.9626785516738892,1
68840,-67.2403564453125,262.3305358886719,-172.2099609375,-46.13937759399414,210.51409912109375,224.88783264160156,135.05064440437127,34.24250456574373,-180.91511261917185,43.01814270019531,-59.16471862792969,10.794578552246094,0.18276262283325195,2.0216410160064697,0.0,-36.399845123291016,169.98570251464844,260.9965515136719,0.2688288390636444,0.06856682151556015,-0.06841426342725754,0.9583053588867188,1
68842,-65.42324829101562,262.1837463378906,-173.78561401367188,-45.52560806274414,209.56427001953125,225.20603942871094,216.92784985667095,-17.523856000043452,-188.102746182587,80.966552734375,-79.30519104003906,14.557785987854004,0.17230045795440674,1.9125568866729736,0.0,-35.81501388549805,169.2480926513672,261.4795227050781,0.28065866231918335,0.06222447380423546,-0.07769230753183365,0.9546322226524353,1
68844,-62.4471321105957,261.1067810058594,-174.13551330566406,-44.07431411743164,208.20663452148438,225.16268920898438,355.42788359490805,-128.61846966436133,-41.78733533399645,122.02096557617188,-66.54710388183594,-7.101939678192139,0.20247650146484375,1.9032593965530396,0.0,-34.68295669555664,168.0040740966797,261.6184997558594,0.28309303522109985,0.051934096962213516,-0.08585604280233383,0.9538291096687317,1
68846,-60.203678131103516,261.27545166015625,-174.0998992919922,-42.343685150146484,207.64535522460938,224.98147583007812,267.76143235259224,20.13123353687115,4.250615078257397,148.17237854003906,-36.352142333984375,-8.010102272033691,0.22076797485351562,2.0305113792419434,0.0,-33.376094818115234,167.4419708251953,261.5643310546875,0.28706371784210205,0.05221414193511009,-0.08845993131399155,0.9523879885673523,1
68847,-59.1359748840332,261.2921142578125,-173.8820343017578,-41.42544174194336,207.43788146972656,224.80516052246094,127.48526003444567,1.989537449553609,26.01338434498757,143.33795166015625,-24.851022720336914,-20.71826171875,0.22163546085357666,2.100882053375244,0.0,-32.787845611572266,167.1663055419922,261.4046325683594,0.2859065532684326,0.054141636937856674,-0.0909942165017128,0.9523897171020508,1
68849,-56.74368667602539,260.52923583984375,-172.89344787597656,-39.485042572021484,206.76101684570312,224.5821533203125,285.5667928989278,-91.06458931742236,118.00729283737019,150.87814331054688,-45.807411193847656,-14.859984397888184,0.23937833309173584,2.241616725921631,0.0,-31.842464447021484,166.37548828125,261.326416015625,0.27693358063697815,0.05703052505850792,-0.09800178557634354,0.9541755318641663,1
68851,-54.26862716674805,260.04241943359375,-170.97238159179688,-38.0037727355957,206.37783813476562,224.06666564941406,295.5216559874243,-58.125790510326624,229.37496550462674,113.91354370117188,-24.31435775756836,-32.008056640625,0.273786723613739,2.2974138259887695,0.0,-31.5277099609375,165.95921325683594,261.10052490234375,0.2683829367160797,0.05127831920981407,-0.10247614234685898,0.9564725756645203,1
