frame_id,index_x_coor,index_y_coor,index_z_coor,palm_x_coor,palm_y_coor,palm_z_coor,index_x_velocity,index_y_velocity,index_z_velocity,palm_velocity_x,palm_velocity_y,palm_velocity_z,confidence,hand_grab_angle,hand_grab_strength,armPosition_x,armPosition_y,armPosition_z,tip_rotation_x,tip_rotation_y,tip_rotation_z,tip_rotation_w,target
75689,-153.142578125,253.6261138916016,151.67552185058594,-195.76193237304688,265.4467468261719,-85.32946014404297,453.8018128601834,792.4096868257038,119.96893990435638,185.9333953857422,412.096923828125,-6.8006911277771,0.5787146091461182,2.7518880367279053,0.0,-230.64193725585935,245.94158935546875,-35.21925735473633,-0.2159197628498077,-0.1566444933414459,-0.2009961158037185,0.9425718784332277,1
75690,-149.6572265625,259.7107849121094,152.1970977783203,-194.3759613037109,268.55816650390625,-85.56051635742188,415.3953419625759,725.190545048099,62.16308655682951,194.4889678955078,364.5918273925781,-26.434171676635746,0.576845645904541,2.752964735031128,0.0,-229.11187744140625,248.08775329589844,-35.515987396240234,-0.1952569037675857,-0.1719936728477478,-0.1854080408811569,0.9475846886634828,1
75692,-145.16444396972656,276.1695251464844,153.2001190185547,-192.374267578125,273.94989013671875,-84.69632720947266,535.6060663053067,1962.1250152308492,119.57495156046934,158.88104248046875,278.63916015625,58.05635833740234,0.5751273036003113,2.707140684127808,0.0,-226.87786865234372,251.8868865966797,-34.95137023925781,-0.1046419739723205,-0.1727587729692459,-0.1480622589588165,0.968133270740509,1
75694,-142.6804656982422,285.0639038085937,153.6066436767578,-190.5314178466797,277.8977966308594,-84.44420623779297,296.2171568057965,1060.664494971512,48.47851521358825,146.7315673828125,212.9689178466797,21.778852462768555,0.5815780758857727,2.692172050476074,0.0,-224.81613159179688,254.96966552734372,-34.89472961425781,-0.0669731125235557,-0.1708457618951797,-0.1302674561738968,0.9743493795394896,1
75696,-142.88389587402344,290.615478515625,154.4379119873047,-189.3377685546875,281.32830810546875,-84.53868103027344,-24.263451625127345,662.1454453845508,99.1467384963762,94.3694839477539,205.9254913330078,-18.133560180664062,0.5821247696876526,2.69177770614624,0.0,-223.1277313232422,257.3304443359375,-35.07695388793945,-0.0572922378778457,-0.15719835460186,-0.1191382110118866,0.9786788821220398,1
75698,-147.420654296875,292.6441650390625,155.6483917236328,-189.6805419921875,284.4981689453125,-85.06375122070312,-540.8987888284028,241.87183472514155,144.32045135647058,-3.5083045959472656,165.1208953857422,-20.813905715942383,0.5825120210647583,2.7120163440704346,0.0,-222.893798828125,259.7873840332031,-35.558223724365234,-0.0768755450844764,-0.1287989467382431,-0.1094911471009254,0.9826050400733948,1
75700,-152.18295288085938,293.04010009765625,157.27542114257812,-190.23516845703125,285.9798278808594,-85.62571716308594,-568.9345955844037,47.30093010049313,194.375322787324,-5.162883758544922,64.98783111572266,-36.660526275634766,0.6027830243110657,2.71923565864563,0.0,-222.7887420654297,260.7336730957031,-35.93416213989258,-0.0948431119322776,-0.0976569280028343,-0.10004124045372,0.9856265187263488,1
75701,-154.21055603027344,292.7184143066406,157.78640747070312,-190.55833435058597,286.3038024902344,-86.02372741699219,-242.1725472804392,-38.421457106480375,61.03110499866307,-6.561321258544922,39.11427307128906,-47.111759185791016,0.6118872165679932,2.7252519130706787,0.0,-222.6641082763672,260.9213256835937,-36.12919235229492,-0.1059579849243164,-0.0878761410713195,-0.0960491746664047,0.9858119487762452,1
75703,-159.0561065673828,292.1396484375,158.8499755859375,-191.29965209960935,286.492431640625,-86.80962371826172,-577.9444709883537,-69.03127549798228,126.85520603111944,-14.365333557128906,0.7835593223571777,-27.02280616760254,0.6140773892402649,2.7313320636749268,0.0,-222.59280395507807,260.92938232421875,-36.50535202026367,-0.1111948862671852,-0.0626437664031982,-0.0924264788627624,0.9875063300132751,1
75705,-164.73667907714844,290.3465576171875,160.10731506347656,-192.84521484375,285.7051086425781,-87.64524841308594,-678.1153962789103,-214.0492864213884,150.09424782497808,-95.1616668701172,-51.97210311889648,-22.99968910217285,0.6078792214393616,2.737760066986084,0.0,-223.42454528808597,260.6418151855469,-36.76369094848633,-0.118287444114685,-0.0301778279244899,-0.0966659933328628,0.9878021478652954,1
