index_x_coor,index_y_coor,index_z_coor,palm_x_coor,palm_y_coor,palm_z_coor,index_x_velocity,index_y_velocity,index_z_velocity,palm_velocity_x,palm_velocity_y,palm_velocity_z,confidence,hand_grab_angle,hand_grab_strength,armPosition_x,armPosition_y,armPosition_z,tip_rotation_x,tip_rotation_y,tip_rotation_z,tip_rotation_w,target
-28.966472625732425,263.7892150878906,-103.51449584960938,4.838218688964844,214.8754730224609,171.66537475585938,219.4566942125676,-314.5142221264541,-146.59775345295202,149.7306365966797,-125.84789276123048,92.7247543334961,0.740001916885376,2.630680799484253,0.0,17.549962997436523,173.33114624023438,218.71519470214844,0.1970393657684326,0.0995237752795219,-0.0036117357667535,0.975324273109436,1
-26.50944900512696,263.5897521972656,-104.64220428466795,7.143045425415039,213.7112579345703,172.77488708496094,293.00666520930827,-23.786485373973846,-134.482259394601,171.86318969726562,-45.3846321105957,46.03681945800781,0.7378503680229187,2.622918605804444,0.0,19.36516761779785,172.55010986328125,220.11317443847656,0.2071035355329513,0.1015069112181663,-0.0117338290438056,0.97296804189682,1
-23.904151916503903,265.0144958496094,-105.12638854980467,9.448579788208008,214.59429931640625,173.18450927734375,311.3487445472274,170.2654754407704,-57.862945357803255,168.6243438720703,87.24234008789062,12.308967590332031,0.7357419729232788,2.62188720703125,0.0,21.259122848510746,173.43527221679688,220.6358337402344,0.2102058678865432,0.1013510823249816,-0.0139866471290588,0.972288966178894,1
-21.14889144897461,267.0206298828125,-104.68167114257812,11.76182746887207,215.88497924804688,172.7266387939453,329.0867403957236,239.6115059044677,53.11679373553488,169.77774047851562,78.01637268066406,-42.87044906616211,0.7373834848403931,2.6190571784973145,0.0,23.116458892822266,174.73983764648438,220.3107147216797,0.2165679931640625,0.0992562994360923,-0.0152876144275069,0.9710884690284728,1
-18.071712493896484,269.023193359375,-103.73062133789062,14.031869888305664,217.82704162597656,171.73849487304688,367.8684895620681,239.4010917562992,113.69545296393336,168.2301483154297,130.911376953125,-69.45525360107422,0.739040732383728,2.625427961349488,0.0,24.859649658203125,176.45205688476562,219.2350006103516,0.2142059803009033,0.0930488407611846,-0.0146240144968032,0.9722365140914916,1
-15.062664031982422,271.55401611328125,-102.77442932128906,16.1543025970459,220.10665893554688,170.69956970214844,359.4324365979992,302.3081218358129,114.21764412662014,150.78158569335938,131.79464721679688,-64.08399963378906,0.7412113547325134,2.629852294921875,0.0,26.42841148376465,178.31834411621094,218.01177978515625,0.213522657752037,0.0887181162834167,-0.0160929411649703,0.9727683067321776,1
-13.734367370605469,272.5035400390625,-102.24506378173828,17.076702117919922,220.9061737060547,170.07278442382812,158.6573099641828,113.41510988585652,63.22963456506841,142.9692840576172,96.27596282958984,-74.65013885498047,0.7421199679374695,2.634305953979492,0.0,27.097524642944336,178.97984313964844,217.33238220214844,0.2134004980325698,0.0867400392889976,-0.0176644679158926,0.9729462265968324,1
-11.1588134765625,274.1280517578125,-101.3809814453125,18.677377700805664,222.1647186279297,169.18211364746094,307.43501329340506,193.91237861663103,103.14253768872004,119.388916015625,59.53448486328125,-45.05013656616211,0.7420013546943665,2.637159824371338,0.0,28.185489654541016,179.99798583984375,216.33175659179688,0.21490079164505,0.0815079733729362,-0.0201273392885923,0.9730205535888672,1
-9.28105926513672,274.0174255371094,-100.9434814453125,19.774879455566406,222.22511291503903,168.72674560546875,224.0519127989537,-13.199819339206442,52.20209932327271,92.83226776123048,-11.391189575195312,-16.563610076904297,0.7408751845359802,2.6408498287200928,0.0,28.99824523925781,179.9794158935547,215.83433532714844,0.2125708162784576,0.0776573121547699,-0.0227469205856323,0.9737892746925354,1
-7.993057250976562,272.6433410644531,-101.37389373779295,20.55002212524414,221.1379852294922,169.31398010253906,153.82189478044165,-164.1024430464022,-51.402741329802666,65.23027038574219,-99.79981994628906,54.96039962768555,0.7411510348320007,2.6384928226470947,0.0,29.538822174072266,179.1207275390625,216.5857849121093,0.2109893411397934,0.0764995738863945,-0.0281071551144123,0.9740848541259766,1
-7.095466613769531,269.26171875,-102.7284164428711,20.95907592773437,218.4986572265625,170.7052459716797,107.219095791399,-403.941921666963,-161.80059555801563,60.78352355957031,-173.89483642578125,102.130615234375,0.735869288444519,2.63891339302063,0.0,29.806032180786133,176.81021118164062,218.20361328125,0.2084295898675918,0.0758101046085357,-0.0328680425882339,0.9745407104492188,1
-6.220554351806641,265.081298828125,-105.48238372802734,21.620716094970703,215.65098571777344,173.5832061767578,104.51843979890693,-499.3997534774244,-328.9934047283605,79.04013061523438,-170.77435302734375,169.93666076660156,0.7331244945526123,2.638394594192505,0.0,30.33268165588379,174.42529296875,221.40966796875,0.2009264379739761,0.0768681094050407,-0.035304170101881,0.9759474992752076,1
-5.5365142822265625,263.1444091796875,-106.8979949951172,22.07568359375,213.9352264404297,175.00303649902344,81.69051669817418,-231.31030359864235,-169.05737104453146,86.55397033691406,-204.73081970214844,170.2529754638672,0.7316583395004272,2.6329939365386963,0.0,30.75978660583496,173.0172882080078,223.0178375244141,0.2027596831321716,0.0765831694006919,-0.0374312363564968,0.975511372089386,1
-3.628570556640625,257.59814453125,-110.20217895507812,23.400218963623047,210.2098083496093,178.4861297607422,227.90489115053788,-662.5042573548853,-394.6865285583772,112.84255981445312,-227.25656127929688,212.95542907714844,0.7281902432441711,2.6292407512664795,0.0,31.91840553283692,169.9271240234375,226.9742889404297,0.1931740939617157,0.0750095844268798,-0.0386878959834575,0.9775277972221376,1
-0.8292045593261719,252.60317993164065,-112.5749969482422,25.23221778869629,206.93028259277344,181.6996154785156,334.37242779915687,-596.6273940401152,-283.42307288898155,150.58863830566406,-172.39117431640625,192.51882934570312,0.7265222668647766,2.632243394851685,0.0,33.51844787597656,167.0928192138672,230.48452758789065,0.178368866443634,0.0699705481529235,-0.0435314588248729,0.9805068373680116,1
1.8621826171875,250.131103515625,-114.8514404296875,27.59699440002441,204.65321350097656,184.5655517578125,321.4151025088504,-295.22422548383474,-271.8610392920673,188.90040588378903,-125.6707000732422,154.8689422607422,0.7311894297599792,2.6328108310699463,0.0,35.290618896484375,165.21778869628906,233.7059326171875,0.1774926334619522,0.0698664709925651,-0.0469620190560817,0.9805149435997008,1
