frame_id,index_x_coor,index_y_coor,index_z_coor,palm_x_coor,palm_y_coor,palm_z_coor,index_x_velocity,index_y_velocity,index_z_velocity,palm_velocity_x,palm_velocity_y,palm_velocity_z,confidence,hand_grab_angle,hand_grab_strength,armPosition_x,armPosition_y,armPosition_z,tip_rotation_x,tip_rotation_y,tip_rotation_z,tip_rotation_w,target
25161,-260.1416931152344,245.8447113037109,-232.28543090820312,-205.70872497558597,228.48487854003903,236.26364135742188,-168.58716668235138,389.0282012466341,91.94601030740888,-19.025787353515625,174.80514526367188,-108.86424255371094,0.6007580161094666,2.671236991882324,0.216346874833107,-161.0536346435547,197.1189422607422,245.87918090820312,-0.047691736370325,0.439780980348587,0.1402208507061004,0.8858082890510559,0
25162,-261.8385009765625,248.75564575195312,-231.9049530029297,-206.51605224609372,230.0161895751953,235.291015625,-202.6066156560555,347.57888055359945,45.43080125702545,-64.0394287109375,182.7960205078125,-115.3179931640625,0.6045449376106262,2.6526403427124023,0.1535534858703613,-161.90269470214844,198.6487579345703,245.1461944580078,-0.017959589138627,0.4647038578987121,0.1173267364501953,0.8774749040603638,0
25164,-263.8612365722656,252.5591583251953,-230.1295623779297,-207.51123046875,232.3121795654297,233.16421508789065,-241.65852349274792,454.4099755244097,212.1079383641481,-21.62384796142578,136.9507598876953,-138.8772430419922,0.6089431643486023,2.6307177543640137,0.0933488756418228,-162.82363891601562,201.00308227539065,243.14813232421875,0.0081974510103464,0.4788104891777038,0.0947861075401306,0.8727478981018066,0
25166,-266.1689453125,255.84251403808597,-227.84912109375,-208.78778076171875,234.6783142089844,230.91310119628903,-275.54731121566147,392.0424716854468,272.2914955797605,-52.24876022338867,158.34556579589844,-143.08045959472656,0.6064481139183044,2.61616849899292,0.0456679575145244,-163.92442321777344,203.449951171875,241.0992889404297,0.0248428601771593,0.4898118674755096,0.082599826157093,0.867550790309906,0
25168,-268.92315673828125,259.7432556152344,-225.4603729248047,-210.55856323242188,237.7947998046875,229.0581970214844,-328.9570727501996,465.8961613340071,285.3069295400055,-88.84574890136719,188.4571533203125,-121.15858459472656,0.6045557260513306,2.598752498626709,0.0090532340109348,-165.414306640625,206.8007049560547,239.24984741210935,0.0498944222927093,0.4870923161506653,0.0692992284893989,0.86916583776474,0
25170,-271.4523010253906,263.0777587890625,-221.358642578125,-212.7985992431641,240.99606323242188,226.2301025390625,-301.97936863987707,398.1390734773595,489.7458586030407,-101.09326171875,187.14247131347656,-203.88433837890625,0.602043628692627,2.588898181915283,0.0,-167.29794311523438,210.3255615234375,236.9623870849609,0.0535928159952163,0.4793843328952789,0.0703691989183425,0.8731361031532288,0
25172,-273.44598388671875,266.7626647949219,-217.76019287109372,-214.6817321777344,244.62779235839844,223.7803497314453,-237.78983366605823,439.5047994868364,429.1930145402439,-82.97422790527344,247.1869354248047,-143.99038696289062,0.6043574810028076,2.575079679489136,0.0,-168.87652587890625,214.41018676757807,235.05323791503903,0.0578461103141307,0.4704577326774597,0.0692874118685722,0.8777941465377808,0
25174,-275.4765319824219,269.09088134765625,-213.7260284423828,-217.0916290283203,247.91943359375,221.2216796875,-241.98478154931215,277.4585714591667,480.76004704413936,-112.23049926757812,185.78494262695312,-171.80604553222656,0.5990566611289978,2.566778898239136,0.0,-170.6615753173828,218.46343994140625,233.45660400390625,0.0619325265288353,0.4591242671012878,0.0852157473564148,0.8821040391921997,0
25176,-275.1107788085937,271.35919189453125,-208.5987701416016,-218.34124755859372,250.67767333984372,217.5463409423828,43.6095362668857,270.45553705841303,611.3340165372938,-3.6823654174804688,162.1617889404297,-214.03982543945312,0.5917150974273682,2.5718882083892822,0.0,-171.4717559814453,221.5784149169922,230.43539428710935,0.062589131295681,0.4224983751773834,0.0885651186108589,0.8998521566390991,0
25177,-275.8043212890625,272.77398681640625,-206.64732360839844,-218.9714813232422,251.86871337890625,216.3196258544922,-82.62250219844282,168.54612346738577,232.47803850565103,-42.54680252075195,141.51126098632812,-144.86105346679688,0.5880438685417175,2.556192398071289,0.0,-171.70846557617188,223.36422729492188,229.5182342529297,0.0740336030721664,0.4208214282989502,0.0956024080514907,0.8990486860275269,0
