x,y,z
-162.10781860351562,289.5413818359375,-81.49894714355469
-162.10781860351562,289.5413818359375,-81.49894714355469
-170.99851989746094,302.9773864746094,-83.51142120361328
-170.99851989746094,302.9773864746094,-83.51142120361328
-175.3882293701172,303.55975341796875,-83.9252700805664
-175.3882293701172,303.55975341796875,-83.9252700805664
-177.36160278320312,303.6842956542969,-84.23208618164062
-177.36160278320312,303.6842956542969,-84.23208618164062
-178.12489318847656,302.1119384765625,-83.89615631103516
-178.12489318847656,302.1119384765625,-83.89615631103516
-178.12489318847656,302.1119384765625,-83.89615631103516
-177.6485137939453,300.7174377441406,-82.63951873779297
-177.6485137939453,300.7174377441406,-82.63951873779297
-177.27862548828125,300.68023681640625,-81.34358215332031
-177.27862548828125,300.68023681640625,-81.34358215332031
-177.0825653076172,300.8711853027344,-80.64781188964844
-177.0825653076172,300.8711853027344,-80.64781188964844
-176.81814575195312,300.79290771484375,-79.77611541748047
-176.81814575195312,300.79290771484375,-79.77611541748047
-176.61959838867188,300.985107421875,-79.32293701171875
-176.61959838867188,300.985107421875,-79.32293701171875
-176.61959838867188,300.985107421875,-79.32293701171875
-176.50196838378906,301.36541748046875,-79.30496978759766
-176.50196838378906,301.36541748046875,-79.30496978759766
-176.50196838378906,301.36541748046875,-79.30496978759766
-176.7632598876953,301.8677673339844,-78.32992553710938
-176.7632598876953,301.8677673339844,-78.32992553710938
-177.4091796875,302.4329528808594,-77.86141204833984
-177.4091796875,302.4329528808594,-77.86141204833984
-177.4091796875,302.4329528808594,-77.86141204833984
-177.95423889160156,303.0981750488281,-77.04450988769531
-177.95423889160156,303.0981750488281,-77.04450988769531
-178.75558471679688,303.7558898925781,-75.96627807617188
-178.75558471679688,303.7558898925781,-75.96627807617188
-179.4937744140625,304.3083801269531,-74.39130401611328
-179.4937744140625,304.3083801269531,-74.39130401611328
-179.4937744140625,304.3083801269531,-74.39130401611328
-180.2099151611328,305.1654052734375,-73.5040512084961
-180.2099151611328,305.1654052734375,-73.5040512084961
-180.73426818847656,305.7416687011719,-73.0389175415039
-180.73426818847656,305.7416687011719,-73.0389175415039
-181.1089630126953,304.42913818359375,-73.49470520019531
-181.1089630126953,304.42913818359375,-73.49470520019531
-181.1089630126953,304.42913818359375,-73.49470520019531
-180.186767578125,300.73602294921875,-73.55216217041016
-180.186767578125,300.73602294921875,-73.55216217041016
-178.83648681640625,295.7630920410156,-73.22702026367188
-178.83648681640625,295.7630920410156,-73.22702026367188
-178.83648681640625,295.7630920410156,-73.22702026367188
-178.83648681640625,295.7630920410156,-73.22702026367188
-172.40550231933594,279.72662353515625,-71.35675811767578
-172.40550231933594,279.72662353515625,-71.35675811767578
-168.9285125732422,266.1549377441406,-70.11058044433594
-168.9285125732422,266.1549377441406,-70.11058044433594
-165.4509735107422,249.85858154296875,-69.15438842773438
-165.4509735107422,249.85858154296875,-69.15438842773438
-165.4509735107422,249.85858154296875,-69.15438842773438
-163.71005249023438,236.5579376220703,-68.72264862060547
-163.71005249023438,236.5579376220703,-68.72264862060547
-163.71005249023438,236.5579376220703,-68.72264862060547
-161.92962646484375,227.63949584960938,-69.67792510986328
-161.92962646484375,227.63949584960938,-69.67792510986328
-160.7990264892578,225.64173889160156,-71.16459655761719
-160.7990264892578,225.64173889160156,-71.16459655761719
-158.75828552246094,227.874267578125,-71.47684478759766
-158.75828552246094,227.874267578125,-71.47684478759766
-156.7662811279297,235.91673278808594,-70.59770202636719
-156.7662811279297,235.91673278808594,-70.59770202636719
-154.7232208251953,247.75323486328125,-68.05803680419922
-154.7232208251953,247.75323486328125,-68.05803680419922
-153.2418670654297,257.68017578125,-65.7964096069336
-153.2418670654297,257.68017578125,-65.7964096069336
-152.0288848876953,270.59344482421875,-62.532100677490234
-152.0288848876953,270.59344482421875,-62.532100677490234
-152.0288848876953,270.59344482421875,-62.532100677490234
-150.82427978515625,278.64251708984375,-61.160465240478516
-150.82427978515625,278.64251708984375,-61.160465240478516
-149.41943359375,285.9038391113281,-58.729583740234375
-149.41943359375,285.9038391113281,-58.729583740234375
-147.38124084472656,289.2957763671875,-57.748321533203125
-136.7921600341797,273.3041076660156,-55.90593719482422
-136.7921600341797,273.3041076660156,-55.90593719482422
-133.76007080078125,267.34893798828125,-55.86577606201172
-133.76007080078125,267.34893798828125,-55.86577606201172
-129.96255493164062,261.51715087890625,-55.186256408691406
-129.96255493164062,261.51715087890625,-55.186256408691406
-122.89120483398438,251.86886596679688,-54.79520034790039
-122.89120483398438,251.86886596679688,-54.79520034790039
-117.11013793945312,249.17041015625,-53.82114028930664
-117.11013793945312,249.17041015625,-53.82114028930664
-117.11013793945312,249.17041015625,-53.82114028930664
-109.87161254882812,250.4418487548828,-51.8471794128418
-109.87161254882812,250.4418487548828,-51.8471794128418
-104.75787353515625,254.69525146484375,-50.42275619506836
-104.75787353515625,254.69525146484375,-50.42275619506836
-100.58128356933594,262.292724609375,-46.98122024536133
-100.58128356933594,262.292724609375,-46.98122024536133
-99.38337707519531,275.4274597167969,-44.17887496948242
-99.38337707519531,275.4274597167969,-44.17887496948242
-99.38337707519531,275.4274597167969,-44.17887496948242
-99.9306640625,285.24639892578125,-42.51689529418945
-99.9306640625,285.24639892578125,-42.51689529418945
-99.9306640625,285.24639892578125,-42.51689529418945
-103.98312377929688,299.2958068847656,-40.90471267700195
-103.98312377929688,299.2958068847656,-40.90471267700195
-112.62806701660156,311.653076171875,-37.849266052246094
-112.62806701660156,311.653076171875,-37.849266052246094
-121.01210021972656,320.66387939453125,-35.25920486450195
