index_x_coor,index_y_coor,index_z_coor,palm_x_coor,palm_y_coor,palm_z_coor,index_x_velocity,index_y_velocity,index_z_velocity,palm_velocity_x,palm_velocity_y,palm_velocity_z
-104.55900573730469,294.3833312988281,-11.810749053955078,-75.10182189941406,233.49325561523438,73.13041687011719,-178.76860453234985,250.34760575531982,49.19596661315154,2.325733184814453,-94.2503890991211,21.485816955566406
-105.6175537109375,295.18780517578125,-11.406498908996582,-75.54489135742188,232.24432373046875,73.24219512939453,-35.96724277548492,27.334337186068296,13.735573132173158,12.595039367675781,-54.99310302734375,5.567145824432373
-106.557373046875,295.0313415527344,-11.502806663513184,-76.11175537109375,231.5030975341797,73.63818359375,-33.67696589650586,-5.606630866066553,-3.4510387692644144,4.998868942260742,-35.30511474609375,19.62140655517578
-107.17764282226562,295.05767822265625,-11.639471054077148,-76.53996276855469,230.99111938476562,73.90721130371094,-23.28330239688512,0.9886095925467089,-5.130023190929933,10.938850402832031,-25.158079147338867,13.977896690368652
-107.41192626953125,294.7557373046875,-11.484148979187012,-76.93106079101562,230.2520294189453,73.95475769042969,-9.299627551110461,-11.985217531677336,6.165341443462239,13.622781753540039,-34.84209442138672,2.8797714710235596
-107.5736083984375,294.27008056640625,-11.349895477294922,-77.20343017578125,229.6046142578125,73.93207550048828,-6.688573014456779,-20.090968469623476,5.553887469977781,19.796669006347656,-29.21677017211914,-0.4105502963066101
-107.60455322265625,293.7586669921875,-11.234786033630371,-77.36235046386719,228.80162048339844,73.90200805664062,-1.285879127215594,-21.251244984101504,4.783250016458624,26.76460075378418,-27.18929672241211,-0.40640026330947876
-107.63572692871094,293.5472106933594,-11.13725757598877,-77.52946472167969,228.24008178710938,73.7966079711914,-1.3682546097552404,-9.281092697987333,4.280651184570161,22.017776489257812,-33.945735931396484,-5.797670841217041
-107.57284545898438,293.1898498535156,-10.909804344177246,-77.60075378417969,227.74571228027344,73.59487915039062,2.8103171997354366,-15.97127610235475,10.165406951760815,28.746353149414062,-23.67107391357422,-9.14344310760498
-107.55241394042969,292.9549865722656,-10.75598430633545,-77.6785888671875,227.48036193847656,73.46690368652344,0.9531404260196723,-10.956488003954291,7.1757806942478055,28.302654266357422,-13.017990112304688,-5.781080722808838
-107.53160095214844,292.8541259765625,-10.604353904724121,-77.69613647460938,227.38243103027344,73.3238525390625,0.9810917028225958,-4.754410671303049,7.147619885538006,31.345212936401367,-4.493129253387451,-6.319887638092041
-107.51106262207031,292.8487548828125,-10.521855354309082,-77.71842956542969,227.32220458984375,73.17414855957031,0.9691548793343827,-0.2534491214901209,3.892910103626491,31.11679458618164,-2.6571896076202393,-6.630269527435303
